time_period,nemomod_entc_capital_cost_pp_biogas_mm_usd_per_gw,nemomod_entc_capital_cost_pp_biomass_mm_usd_per_gw,nemomod_entc_capital_cost_pp_coal_mm_usd_per_gw,nemomod_entc_capital_cost_pp_gas_mm_usd_per_gw,nemomod_entc_capital_cost_pp_geothermal_mm_usd_per_gw,nemomod_entc_capital_cost_pp_hydropower_mm_usd_per_gw,nemomod_entc_capital_cost_pp_nuclear_mm_usd_per_gw,nemomod_entc_capital_cost_pp_ocean_mm_usd_per_gw,nemomod_entc_capital_cost_pp_oil_mm_usd_per_gw,nemomod_entc_capital_cost_pp_solar_mm_usd_per_gw,nemomod_entc_capital_cost_pp_waste_incineration_mm_usd_per_gw,nemomod_entc_capital_cost_pp_wind_mm_usd_per_gw,nemomod_entc_capital_cost_fp_hydrogen_electrolysis_mm_usd_per_gw,nemomod_entc_capital_cost_fp_hydrogen_gasification_mm_usd_per_gw,nemomod_entc_capital_cost_fp_hydrogen_reformation_mm_usd_per_gw,nemomod_entc_capital_cost_pp_coal_ccs_mm_usd_per_gw,nemomod_entc_capital_cost_pp_gas_ccs_mm_usd_per_gw,nemomod_entc_capital_cost_fp_ammonia_production_mm_usd_per_gw,nemomod_entc_capital_cost_fp_hydrogen_reformation_ccs_mm_usd_per_gw,nemomod_entc_capital_cost_fp_natural_gas_liquefaction_mm_usd_per_gw
0,2581.866715,3043.5,3393.583333,695.6666667,3500.0000008819334,2500.0,5153.583333,30495.04196,1204.871134,750.0,3872.800073,455.6469061328012,1200,800,800,6625,2845,0,1200,783.7042208
1,2581.866715,3043.5,3393.583333,695.6666667,3500.0000008819334,2500.0,5153.583333,30495.04196,1204.871134,750.0,3872.800073,455.6469061328012,1200,800,800,6625,2845,0,1200,783.7042208
2,2581.866715,3043.5,3393.583333,695.6666667,3500.0000008819334,2500.0,5153.583333,30495.04196,1204.871134,750.0,3872.800073,455.6469061328012,1200,800,800,6625,2845,0,1200,783.7042208
3,2581.866715,3043.5,3393.583333,695.6666667,3500.0000008819334,2500.0,5153.583333,30495.04196,1204.871134,750.0,3872.800073,455.6469061328012,1200,800,800,6625,2845,0,1200,783.7042208
4,2581.866715,3043.5,3393.583333,695.6666667,3500.0000008819334,2500.0,5153.583333,30495.04196,1204.871134,750.0,3872.800073,455.6469061328012,1200,800,800,6625,2845,0,1200,783.7042208
5,2581.866715,3043.5,3393.583333,695.6666667,3500.0000008819334,2500.0,5153.583333,30495.04196,1204.871134,750.0,3872.800073,455.6469061328012,1200,800,800,6625,2845,0,1200,783.7042208
6,2581.866715,2906.060422,3393.583333,695.6666667,3341.945614879695,2387.1040098637154,5153.583333,30495.04196,1204.871134,716.1312028956057,3872.800073,435.0706225069716,1200,800,800,6625,2845,0,1200,783.7042208
7,2581.866715,2839.68591,3393.583333,695.6666667,3265.6154713927376,2332.5824792670364,5153.583333,30495.04196,1204.871134,699.7747436372873,3872.800073,425.1335957196112,1200,800,800,6625,2845,0,1200,783.7042208
8,2581.866715,2774.827394,3393.583333,695.6666667,3191.0287094887303,2279.3062214457054,5153.583333,30495.04196,1204.871134,683.7918664465329,3872.800073,415.4235313139194,1200,800,800,6625,2845,0,1200,783.7042208
9,2581.866715,2711.450249,3393.583333,695.6666667,3118.145512833717,2227.246795461184,5153.583333,30495.04196,1204.871134,668.1740385826772,3872.800073,405.9352446356338,1200,800,800,6625,2845,0,1200,783.7042208
10,2581.866715,2649.520639,3393.583333,695.6666667,3046.9269705449246,2176.3764085281737,5153.583333,30495.04196,1204.871134,652.9129224536449,3872.800073,396.6636707947495,1200,800,800,6625,2845,0,1200,783.7042208
11,2581.866715,2589.005504,3393.583333,695.6666667,2977.3350624918853,2126.667902511427,5153.583333,30495.04196,1204.871134,638.0003707391414,3872.800073,387.60386004829803,1200,800,800,6625,2845,0,1200,783.7042208
12,2581.866715,2529.872537,3393.583333,695.6666667,2909.3326363661754,2078.094740422554,5153.583333,30495.04196,1204.871134,623.4284221234442,3872.800073,378.75097565374307,1200,800,800,6625,2845,0,1200,783.7042208
13,2581.866715,2472.090168,3393.583333,695.6666667,2842.8833871029797,2030.6309909877987,5153.583333,30495.04196,1204.871134,609.1892972567945,3872.800073,370.1002913983627,1200,800,800,6625,2845,0,1200,783.7042208
14,2581.866715,2415.627551,3393.583333,695.6666667,2777.9518410063015,1984.2513151448525,5153.583333,30495.04196,1204.871134,595.275394488189,3872.800073,361.64718904762594,1200,800,800,6625,2845,0,1200,783.7042208
15,2581.866715,2360.454541,3393.583333,695.6666667,2714.503333112678,1938.930952539657,5153.583333,30495.04196,1204.871134,581.6792856743714,3872.800073,353.3871558340727,1200,800,800,6625,2845,0,1200,783.7042208
16,2581.866715,2306.541685,3393.583333,695.6666667,2652.50399131639,1894.6457086662228,5153.583333,30495.04196,1204.871134,568.3937124460249,3872.800073,345.3157820676982,1200,800,800,6625,2845,0,1200,783.7042208
17,2581.866715,2253.8602,3393.583333,695.6666667,2591.9207163789815,1851.3719407204273,5153.583333,30495.04196,1204.871134,555.4115820929642,3872.800073,337.4287587058367,1200,800,800,6625,2845,0,1200,783.7042208
18,2581.866715,2202.381962,3393.583333,695.6666667,2532.721165466509,1809.0865473118672,5153.583333,30495.04196,1204.871134,542.7259640589281,3872.800073,329.721875206558,1200,800,800,6625,2845,0,1200,783.7042208
19,2581.866715,2152.079489,3393.583333,695.6666667,2474.8737342169034,1767.7669530316402,5153.583333,30495.04196,1204.871134,530.3300859029719,3872.800073,322.19101713905263,1200,800,800,6625,2845,0,1200,783.7042208
20,2581.866715,2102.925925,3393.583333,695.6666667,2418.3475399832478,1727.3911000932242,5153.583333,30495.04196,1204.871134,518.2173300228601,3872.800073,314.8321641585345,1200,800,800,6625,2845,0,1200,783.7042208
21,2581.866715,2054.895031,3393.583333,695.6666667,2363.1124056650024,1687.9374329002574,5153.583333,30495.04196,1204.871134,506.3812298450597,3872.800073,307.6413875761241,1200,800,800,6625,2845,0,1200,783.7042208
22,2581.866715,2007.961163,3393.583333,695.6666667,2309.138843833213,1649.384888401402,5153.583333,30495.04196,1204.871134,494.81546654813314,3872.800073,300.6148485767626,1200,800,800,6625,2845,0,1200,783.7042208
23,2581.866715,1962.099267,3393.583333,695.6666667,2256.3980396798056,1611.7128858021963,5153.583333,30495.04196,1204.871134,483.5138656337313,3872.800073,293.7487959511033,1200,800,800,6625,2845,0,1200,783.7042208
24,2581.866715,1917.284858,3393.583333,695.6666667,2204.8618372006367,1574.9013124188536,5153.583333,30495.04196,1204.871134,472.4703937261874,3872.800073,287.0395641919197,1200,800,800,6625,2845,0,1200,783.7042208
25,2581.866715,1873.494011,3393.583333,695.6666667,2154.502723320702,1538.9305166051608,5153.583333,30495.04196,1204.871134,461.67915499110995,3872.800073,280.483571469008,1200,800,800,6625,2845,0,1200,783.7042208
26,2581.866715,1830.703349,3393.583333,695.6666667,2105.293813195249,1503.7812955353054,5153.583333,30495.04196,1204.871134,451.13438854457706,3872.800073,282.2387313303151,1200,800,800,6625,2845,0,1200,783.7042208
27,2581.866715,1788.890026,3393.583333,695.6666667,2057.2088358048773,1469.4348829866988,5153.583333,30495.04196,1204.871134,440.83046487172976,3872.800073,283.7673962834283,1200,800,800,6625,2845,0,1200,783.7042208
28,2581.866715,1748.031722,3393.583333,695.6666667,2010.2221213144942,1435.872944195906,5153.583333,30495.04196,1204.871134,430.76188315976634,3872.800073,285.0789971257519,1200,800,800,6625,2845,0,1200,783.7042208
29,2581.866715,1708.106622,3393.583333,695.6666667,1964.3085846105691,1403.0775604264243,5153.583333,30495.04196,1204.871134,420.9232680975362,3872.800073,286.182651858152,1200,800,800,6625,2845,0,1200,783.7042208
30,2581.866715,1669.093413,3393.583333,695.6666667,1919.4437144239596,1371.031224467617,5153.583333,30495.04196,1204.871134,411.3093673609347,3872.800073,287.08717524341586,1200,800,800,6625,2845,0,1200,783.7042208
31,2581.866715,1630.971267,3393.583333,695.6666667,1875.6035595129604,1339.7168284175436,5153.583333,30495.04196,1204.871134,401.915048488697,3872.800073,287.8010879191901,1200,800,800,6625,2845,0,1200,783.7042208
32,2581.866715,1593.719831,3393.583333,695.6666667,1832.7647148463543,1309.1176533948092,5153.583333,30495.04196,1204.871134,392.73529606299206,3872.800073,288.33262506539734,1200,800,800,6625,2845,0,1200,783.7042208
33,2581.866715,1557.31922,3393.583333,695.6666667,1790.9043110202174,1279.2173650375016,5153.583333,30495.04196,1204.871134,383.765209499619,3872.800073,288.6897452336609,1200,800,800,6625,2845,0,1200,783.7042208
34,2581.866715,1521.75,3393.583333,695.6666667,1749.9999998530113,1250.0,5153.583333,30495.04196,1204.871134,375.0,3872.800073,288.88013848819594,1200,800,800,6625,2845,0,1200,783.7042208
35,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,288.91123466820676,1200,800,800,6625,2845,0,1200,783.7042208
36,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,295.54036228372416,1200,800,800,6625,2845,0,1200,783.7042208
37,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,302.16948993974347,1200,800,800,6625,2845,0,1200,783.7042208
38,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,308.7986175957628,1200,800,800,6625,2845,0,1200,783.7042208
39,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,315.4277452112802,1200,800,800,6625,2845,0,1200,783.7042208
40,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,322.0568728672995,1200,800,800,6625,2845,0,1200,783.7042208
41,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,328.68600052331885,1200,800,800,6625,2845,0,1200,783.7042208
42,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,335.31512817933816,1200,800,800,6625,2845,0,1200,783.7042208
43,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,341.9442557948555,1200,800,800,6625,2845,0,1200,783.7042208
44,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,348.57338345087487,1200,800,800,6625,2845,0,1200,783.7042208
45,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,355.2025111068942,1200,800,800,6625,2845,0,1200,783.7042208
46,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,361.8316387224116,1200,800,800,6625,2845,0,1200,783.7042208
47,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,368.4607663784309,1200,800,800,6625,2845,0,1200,783.7042208
48,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,375.0898940344502,1200,800,800,6625,2845,0,1200,783.7042208
49,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,381.7190216904695,1200,800,800,6625,2845,0,1200,783.7042208
50,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
51,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
52,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
53,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
54,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
55,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
