subsector_ssp,mex_sector,mex_subsector,aggregation_category,gas,ID,vars
ippu,[2] Procesos industriales y uso de productos,[2] Procesos industriales y uso de productos,IPPU,SF6,[2] Procesos industriales y uso de productos:SF6,emission_co2e_sf6_ippu_production_chemicals:emission_co2e_sf6_ippu_production_metals:emission_co2e_sf6_ippu_production_electronics:emission_co2e_sf6_ippu_production_other_product_manufacturing
lvst,[3] Agricultura,[3A] Fermentación entérica,Livestock,CH4,[3A] Fermentación entérica:CH4,emission_co2e_ch4_lvst_entferm_cattle_dairy:emission_co2e_ch4_lvst_entferm_cattle_nondairy:emission_co2e_ch4_lvst_entferm_buffalo:emission_co2e_ch4_lvst_entferm_sheep:emission_co2e_ch4_lvst_entferm_goats:emission_co2e_ch4_lvst_entferm_horses:emission_co2e_ch4_lvst_entferm_mules:emission_co2e_ch4_lvst_entferm_pigs:emission_co2e_ch4_lvst_entferm_chickens
lvst,[3] Agricultura,[3B] Gestión del estiércol,Livestock,CH4,[3B] Gestión del estiércol:CH4,emission_co2e_ch4_lsmm_anaerobic_digester:emission_co2e_ch4_lsmm_anaerobic_lagoon:emission_co2e_ch4_lsmm_composting:emission_co2e_ch4_lsmm_daily_spread:emission_co2e_ch4_lsmm_deep_bedding:emission_co2e_ch4_lsmm_dry_lot:emission_co2e_ch4_lsmm_incineration:emission_co2e_ch4_lsmm_liquid_slurry:emission_co2e_ch4_lsmm_paddock_pasture_range:emission_co2e_ch4_lsmm_poultry_manure:emission_co2e_ch4_lsmm_storage_solid
lsmm,[3] Agricultura,[3B] Gestión del estiércol,Livestock,N2O,[3B] Gestión del estiércol:N2O,emission_co2e_n2o_lsmm_direct_anaerobic_digester:emission_co2e_n2o_lsmm_direct_anaerobic_lagoon:emission_co2e_n2o_lsmm_direct_composting:emission_co2e_n2o_lsmm_direct_daily_spread:emission_co2e_n2o_lsmm_direct_deep_bedding:emission_co2e_n2o_lsmm_direct_dry_lot:emission_co2e_n2o_lsmm_direct_incineration:emission_co2e_n2o_lsmm_direct_liquid_slurry:emission_co2e_n2o_lsmm_direct_paddock_pasture_range:emission_co2e_n2o_lsmm_direct_poultry_manure:emission_co2e_n2o_lsmm_direct_storage_solid
lsmm,[3] Agricultura,[3B5] Emisiones indirectas de los N2O de la gestión del estiércol,Agriculture and Managed Soil,N2O,[3B5] Emisiones indirectas de los N2O de la gestión del estiércol:N2O,emission_co2e_n2o_lsmm_indirect_anaerobic_digester:emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon:emission_co2e_n2o_lsmm_indirect_composting:emission_co2e_n2o_lsmm_indirect_daily_spread:emission_co2e_n2o_lsmm_indirect_deep_bedding:emission_co2e_n2o_lsmm_indirect_dry_lot:emission_co2e_n2o_lsmm_indirect_incineration:emission_co2e_n2o_lsmm_indirect_liquid_slurry:emission_co2e_n2o_lsmm_indirect_paddock_pasture_range:emission_co2e_n2o_lsmm_indirect_poultry_manure:emission_co2e_n2o_lsmm_indirect_storage_solid
agrc,[3] Agricultura,[3C] Cultivo del arroz,Agriculture and Managed Soil,CH4,[3C] Cultivo del arroz:CH4,emission_co2e_ch4_agrc_anaerobicdom_rice
soil,[3] Agricultura,[3D1] Emisiones directas de los N2O de los suelos gestionados,Agriculture and Managed Soil,N2O,[3D1] Emisiones directas de los N2O de los suelos gestionados:N2O,emission_co2e_n2o_soil_fertilizer:emission_co2e_n2o_soil_mineral_soils:emission_co2e_n2o_soil_organic_soils
agrc,[3] Agricultura,[3D2] Emisiones indirectas de los N2O de los suelos gestionados,Agriculture and Managed Soil,N2O,[3D2] Emisiones indirectas de los N2O de los suelos gestionados:N2O,emission_co2e_n2o_agrc_crop_residues
agrc,[3] Agricultura,[3F] Emisiones de quemado de biomasa en tierras de cultivo,Agriculture and Managed Soil,CH4,[3F] Emisiones de quemado de biomasa en tierras de cultivo:CH4,emission_co2e_ch4_agrc_biomass_burning
agrc,[3] Agricultura,[3F] Emisiones de quemado de biomasa en tierras de cultivo,Agriculture and Managed Soil,N2O,[3F] Emisiones de quemado de biomasa en tierras de cultivo:N2O,emission_co2e_n2o_agrc_biomass_burning
soil,[3] Agricultura,[3G] Encalado,Agriculture and Managed Soil,CO2,[3G] Encalado:CO2,emission_co2e_co2_soil_lime_use
soil,[3] Agricultura,[3H] Aplicación de urea,Agriculture and Managed Soil,CO2,[3H] Aplicación de urea:CO2,emission_co2e_co2_soil_urea_use
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4A] Tierra forestales,Forest Land,CO2,[4A] Tierra forestales:CO2,emission_co2e_co2_frst_sequestration_mangroves:emission_co2e_co2_frst_sequestration_primary:emission_co2e_co2_frst_sequestration_secondary
agrc,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4B] Tierra de cultivo,Agriculture and Managed Soil,CO2,[4B] Tierra de cultivo:CO2,emission_co2e_co2_agrc_biomass_bevs_and_spices:emission_co2e_co2_agrc_biomass_fruits:emission_co2e_co2_agrc_biomass_nuts:emission_co2e_co2_agrc_biomass_other_woody_perennial:emission_co2e_co2_lndu_conversion_croplands_to_croplands:emission_co2e_co2_lndu_drained_organic_soils_croplands
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4B] Tierra de cultivo,Land Use,CO2,[4B] Tierra de cultivo:CO2,emission_co2e_co2_lndu_conversion_grasslands_to_croplands:emission_co2e_co2_lndu_conversion_pastures_to_croplands:emission_co2e_co2_lndu_conversion_flooded_to_croplands:emission_co2e_co2_lndu_conversion_wetlands_to_croplands:emission_co2e_co2_lndu_conversion_settlements_to_croplands:emission_co2e_co2_lndu_conversion_other_to_croplands:emission_co2e_co2_lndu_conversion_shrublands_to_croplands
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4C] Praderas,Agriculture and Managed Soil,CO2,[4C] Praderas:CO2,emission_co2e_co2_lndu_drained_organic_soils_pastures:emission_co2e_co2_lndu_conversion_grasslands_to_grasslands:emission_co2e_co2_lndu_conversion_grasslands_to_pastures:emission_co2e_co2_lndu_conversion_pastures_to_grasslands:emission_co2e_co2_lndu_conversion_pastures_to_pastures:emission_co2e_co2_lndu_biomass_sequestration_grasslands:emission_co2e_co2_lndu_biomass_sequestration_pastures
agrc,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4C] Praderas,Land Use,CO2,[4C] Praderas:CO2,emission_co2e_co2_lndu_conversion_croplands_to_grasslands:emission_co2e_co2_lndu_conversion_croplands_to_pastures:emission_co2e_co2_lndu_conversion_flooded_to_grasslands:emission_co2e_co2_lndu_conversion_flooded_to_pastures:emission_co2e_co2_lndu_conversion_wetlands_to_grasslands:emission_co2e_co2_lndu_conversion_wetlands_to_pastures:emission_co2e_co2_lndu_conversion_settlements_to_grasslands:emission_co2e_co2_lndu_conversion_settlements_to_pastures:emission_co2e_co2_lndu_conversion_other_to_grasslands:emission_co2e_co2_lndu_conversion_other_to_pastures:emission_co2e_co2_lndu_conversion_shrublands_to_grasslands:emission_co2e_co2_lndu_conversion_shrublands_to_pastures
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4D] Humedales,Wetlands,CO2,[4D] Humedales:CO2,emission_co2e_co2_lndu_biomass_sequestration_wetlands:emission_co2e_co2_lndu_conversion_wetlands_to_wetlands:emission_co2e_co2_lndu_conversion_flooded_to_flooded:emission_co2e_co2_lndu_conversion_croplands_to_wetlands:emission_co2e_co2_lndu_conversion_flooded_to_wetlands:emission_co2e_co2_lndu_conversion_grasslands_to_wetlands:emission_co2e_co2_lndu_conversion_other_to_wetlands:emission_co2e_co2_lndu_conversion_pastures_to_wetlands:emission_co2e_co2_lndu_conversion_settlements_to_wetlands:emission_co2e_co2_lndu_conversion_shrublands_to_wetlands:emission_co2e_co2_lndu_conversion_croplands_to_flooded:emission_co2e_co2_lndu_conversion_grasslands_to_flooded:emission_co2e_co2_lndu_conversion_other_to_flooded:emission_co2e_co2_lndu_conversion_pastures_to_flooded:emission_co2e_co2_lndu_conversion_settlements_to_flooded:emission_co2e_co2_lndu_conversion_shrublands_to_flooded:emission_co2e_co2_lndu_conversion_wetlands_to_flooded
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4E] Asentamientos,Land Use,CO2,[4E] Asentamientos:CO2,emission_co2e_co2_lndu_biomass_sequestration_settlements:emission_co2e_co2_lndu_conversion_croplands_to_settlements:emission_co2e_co2_lndu_conversion_flooded_to_settlements:emission_co2e_co2_lndu_conversion_grasslands_to_settlements:emission_co2e_co2_lndu_conversion_other_to_settlements:emission_co2e_co2_lndu_conversion_pastures_to_settlements:emission_co2e_co2_lndu_conversion_settlements_to_settlements:emission_co2e_co2_lndu_conversion_shrublands_to_settlements:emission_co2e_co2_lndu_conversion_wetlands_to_settlements
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4F] Otras tierras,Land Use,CO2,[4F] Otras tierras:CO2,emission_co2e_co2_lndu_biomass_sequestration_other:emission_co2e_co2_lndu_conversion_croplands_to_other:emission_co2e_co2_lndu_conversion_flooded_to_other:emission_co2e_co2_lndu_conversion_grasslands_to_other:emission_co2e_co2_lndu_conversion_other_to_other:emission_co2e_co2_lndu_conversion_pastures_to_other:emission_co2e_co2_lndu_conversion_settlements_to_other:emission_co2e_co2_lndu_conversion_shrublands_to_other:emission_co2e_co2_lndu_conversion_wetlands_to_other
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4G] Productos de madera recolectada,Forest Land - HWP,CO2,[4G] Productos de madera recolectada:CO2,emission_co2e_co2_frst_harvested_wood_products
waso,[5] Residuos,[5A] Eliminación de residuos sólidos,Solid Waste,CH4,[5A] Eliminación de residuos sólidos:CH4,emission_co2e_ch4_waso_landfilled_chemical_industrial:emission_co2e_ch4_waso_landfilled_food:emission_co2e_ch4_waso_landfilled_glass:emission_co2e_ch4_waso_landfilled_metal:emission_co2e_ch4_waso_landfilled_nappies:emission_co2e_ch4_waso_landfilled_other:emission_co2e_ch4_waso_landfilled_paper:emission_co2e_ch4_waso_landfilled_plastic:emission_co2e_ch4_waso_landfilled_rubber_leather:emission_co2e_ch4_waso_landfilled_sludge:emission_co2e_ch4_waso_landfilled_textiles:emission_co2e_ch4_waso_landfilled_wood:emission_co2e_ch4_waso_landfilled_yard:emission_co2e_ch4_waso_open_dump_chemical_industrial:emission_co2e_ch4_waso_open_dump_food:emission_co2e_ch4_waso_open_dump_glass:emission_co2e_ch4_waso_open_dump_metal:emission_co2e_ch4_waso_open_dump_nappies:emission_co2e_ch4_waso_open_dump_other:emission_co2e_ch4_waso_open_dump_paper:emission_co2e_ch4_waso_open_dump_plastic:emission_co2e_ch4_waso_open_dump_rubber_leather:emission_co2e_ch4_waso_open_dump_sludge:emission_co2e_ch4_waso_open_dump_textiles:emission_co2e_ch4_waso_open_dump_wood:emission_co2e_ch4_waso_open_dump_yard
waso,[5] Residuos,[5B] Tratamiento biológico de los residuos sólidos,Solid Waste,CH4,[5B] Tratamiento biológico de los residuos sólidos:CH4,emission_co2e_ch4_waso_biogas_food:emission_co2e_ch4_waso_biogas_sludge:emission_co2e_ch4_waso_biogas_yard:emission_co2e_ch4_waso_compost_food:emission_co2e_ch4_waso_compost_sludge:emission_co2e_ch4_waso_compost_yard
waso,[5] Residuos,[5B] Tratamiento biológico de los residuos sólidos,Solid Waste,N2O,[5B] Tratamiento biológico de los residuos sólidos:N2O,emission_co2e_n2o_waso_compost_food:emission_co2e_n2o_waso_compost_sludge:emission_co2e_n2o_waso_compost_yard
waso,[5] Residuos,[5C] Incineración y quema a cielo abierto de residuos,Solid Waste,CH4,[5C] Incineración y quema a cielo abierto de residuos:CH4,emission_co2e_ch4_waso_incineration
waso,[5] Residuos,[5C] Incineración y quema a cielo abierto de residuos,Solid Waste,CO2,[5C] Incineración y quema a cielo abierto de residuos:CO2,emission_co2e_co2_waso_incineration
waso,[5] Residuos,[5C] Incineración y quema a cielo abierto de residuos,Solid Waste,N2O,[5C] Incineración y quema a cielo abierto de residuos:N2O,emission_co2e_n2o_waso_incineration
trww,[5] Residuos,[5D] Tratamiento y eliminación de aguas residuales,Wastewater Treatment,CH4,[5D] Tratamiento y eliminación de aguas residuales:CH4,emission_co2e_ch4_trww_treated_advanced_aerobic_treatment:emission_co2e_ch4_trww_treated_advanced_anaerobic_treatment:emission_co2e_ch4_trww_treated_latrine_improved_treatment:emission_co2e_ch4_trww_treated_latrine_unimproved_treatment:emission_co2e_ch4_trww_treated_primary_treatment:emission_co2e_ch4_trww_treated_secondary_aerobic_treatment:emission_co2e_ch4_trww_treated_secondary_anaerobic_treatment:emission_co2e_ch4_trww_treated_septic_treatment:emission_co2e_ch4_trww_untreated_no_sewerage_treatment:emission_co2e_ch4_trww_untreated_with_sewerage_treatment
trww,[5] Residuos,[5D] Tratamiento y eliminación de aguas residuales,Wastewater Treatment,N2O,[5D] Tratamiento y eliminación de aguas residuales:N2O,emission_co2e_n2o_trww_treated_advanced_aerobic_effluent:emission_co2e_n2o_trww_treated_advanced_aerobic_treatment:emission_co2e_n2o_trww_treated_advanced_anaerobic_effluent:emission_co2e_n2o_trww_treated_advanced_anaerobic_treatment:emission_co2e_n2o_trww_treated_latrine_improved_effluent:emission_co2e_n2o_trww_treated_latrine_improved_treatment:emission_co2e_n2o_trww_treated_latrine_unimproved_effluent:emission_co2e_n2o_trww_treated_latrine_unimproved_treatment:emission_co2e_n2o_trww_treated_primary_effluent:emission_co2e_n2o_trww_treated_primary_treatment:emission_co2e_n2o_trww_treated_secondary_aerobic_effluent:emission_co2e_n2o_trww_treated_secondary_aerobic_treatment:emission_co2e_n2o_trww_treated_secondary_anaerobic_effluent:emission_co2e_n2o_trww_treated_secondary_anaerobic_treatment:emission_co2e_n2o_trww_treated_septic_effluent:emission_co2e_n2o_trww_treated_septic_treatment:emission_co2e_n2o_trww_untreated_no_sewerage_effluent:emission_co2e_n2o_trww_untreated_no_sewerage_treatment:emission_co2e_n2o_trww_untreated_with_sewerage_effluent:emission_co2e_n2o_trww_untreated_with_sewerage_treatment
ccsq,[6] CCSQ,[6] CCSQ,CCSQ,CH4,[6] CCSQ:CH4,emission_co2e_ch4_ccsq_direct_air_capture
ccsq,[6] CCSQ,[6] CCSQ,CCSQ,CO2,[6] CCSQ:CO2,emission_co2e_co2_ccsq_direct_air_capture
ccsq,[6] CCSQ,[6] CCSQ,CCSQ,N2O,[6] CCSQ:N2O,emission_co2e_n2o_ccsq_direct_air_capture
